node	name	won_lost
1	Barty	0
2	Barty	1
3	Collins	2
4	Barty	1
5	Keys	2
6	Collins	1
7	Swiatek	2
8	Barty	1
9	Pegula	2
10	Krejcikova	2
11	Keys	1
12	Collins	1
13	Cornet	2
14	Swiatek	1
15	Canepi	2
16	Barty	1
17	Anisimova	2
18	Pegula	1
19	Sakkari	2
20	Krejcikova	1
21	Azarenka	2
22	Keys	1
23	Badosa	2
24	Collins	1
25	Mertens	2
26	Halep	2
27	Cornet	1
28	Swiatek	1
29	Cirstea	2
30	Kanepi	1
31	Sabalenka	2
32	Barty	1
33	Giorgi	2
34	Anisimova	1
35	Osaka	2
36	ParrizasDiaz	2
37	Pegula	1
38	Kudermetova	2
39	Sakkari	1
40	Krejcikova	1
41	Ostapenko	2
42	Azarenka	1
43	Svitolina	2
44	Keys	1
45	Q Wang	2
46	Kostyuk	2
47	Badosa	1
48	Tauson 	2
49	Collins	1
50	Mertes	1
51	S Zhang	2
52	Halep	1
53	Kovinic	2
54	Zidansek	2
55	Cornet	1
56	Swiatek	1
57	Kasatkina	2
58	Cirstea	1
59	Pavlyuchekova	2
60	Kanepi	1
61	Inglis	2
62	Vondrousova	2
63	Sabalenka	1
64	Barty	1
65	Bronzetti	2
66	Martincova	2
67	Giorgi	1
68	Bencic	2
69	Anisimova	1
70	Brengle	2
71	Osaka	1
72	ParrizasDiaz	1
73	Zanevska	2
74	Pera	2
75	Pegula	1
76	Kudermet	1
77	Ruse	2
78	Zheng	2
79	Sakkari	1
80	Krejcicova	1
81	X Wang	2
82	Riske	2
83	Ostapenko	1
84	Azarenka	1
85	Teichmann	2
86	Ton	2
87	Svitolina	1
88	Keys	1
89	Cristian	2
90	VanUytvanck	2
91	Q Wang	1
92	SorribesTor	2
93	Kostyuk	1
94	Trevisan	2
95	Badosa	1
96	Kontaveit	2
97	Tauson	1
98	Konjuh	2
99	Collins	1
100	Mertens	1
101	Begu	2
102	Zhang	1
103	Rybakina	2
104	Halep	1
105	HaddadM	2
106	Kovinic	1
107	Raducanu	2
108	Zidansec	1
109	Watson	2
110	Cornet	1
111	Muguruza	2
112	Swiatek	1
113	Peterson	2
114	Linette	2
115	Kasatkina	1
116	Cristea	1
117	Kucova	2
118	Stosur	2
119	Pavlyuchen	1
120	Kanepi	1
121	Bouzkova	2
122	Baptiste	2
123	Inglis	1
124	Vondrous	1
125	Samson	2
126	X Wang2	2
127	Sabalenka	1
